"","Artist","Total Plays"
"1","Drake",409868350
"2","Post Malone",356233427
"3","XXXTENTACION",212870218
"4","Ariana Grande",197203120
"5","George Ezra",152062794
"6","Ed Sheeran",140656396
"7","Eminem",137683724
"8","Calvin Harris",135523259
"9","Hugh Jackman",134135651
"10","Marshmello",111465515
"11","Dua Lipa",109157230
"12","Khalid",96863330
"13","Clean Bandit",91112893
"14","Camila Cabello",84794072
"15","Cardi B",81521119
"16","Sigala",74912020
"17","Jess Glynne",73748681
"18","Rudimental",73624902
"19","Travis Scott",72065201
"20","Kendrick Lamar",67393098
